id,text,label
1,pemalas parah,toxic
2,eh busuk,toxic
3,us3l3s5,toxic
4,dungu ya,toxic
5,si leb4y lu,toxic
6,oi brengsek,toxic
7,breng5ek,toxic
8,wahai goblokan,toxic
9,4nj1ng,toxic
10,penipu,toxic
11,dasar j4h4t sih,toxic
12,stress,toxic
13,payah banget,toxic
14,ngehe kau,toxic
15,brengseklu,toxic
16,hei otakudang,toxic
17,dasar anak j4h1l abis,toxic
18,biadab,toxic
19,gila,toxic
20,ed4n,toxic
21,dasar ngeyel,toxic
22,g4ring,toxic
23,n4kal,toxic
24,sialan sih,toxic
25,pem4l4s,toxic
26,ampas bro,toxic
27,soktau,toxic
28,muka dua sih,toxic
29,rese sih,toxic
30,dasar lu munafik,toxic
31,julid parah,toxic
32,payah,toxic
33,nih t0l0l bang,toxic
34,kamu keras kepala,toxic
35,nakal nih,toxic
36,oi ber151k woy,toxic
37,3d4n,toxic
38,ng3h3,toxic
39,muka dua,toxic
40,begokan,toxic
41,taiayam sih,toxic
42,bodoh ya,toxic
43,si parasit,toxic
44,dasar anak lebay,toxic
45,si 3g0i5 bro,toxic
46,t0lolan,toxic
47,eh 3gois bang,toxic
48,berisik woy,toxic
49,woi s14lan parah,toxic
50,useless,toxic
51,woi edan,toxic
52,goblokan,toxic
53,egois,toxic
54,pengacau,toxic
55,munafik,toxic
56,c4c4t,toxic
57,jahil,toxic
58,id10t,toxic
59,hei ber151k banget,toxic
60,eh garing,toxic
61,dasar manusia s1nt1ng cuk,toxic
62,berisik,toxic
63,pemalas,toxic
64,dasar lu jul1d sih,toxic
65,taiayam banget,toxic
66,ngeyel amat,toxic
67,woi re5e bang,toxic
68,dasar anak nakal parah,toxic
69,oi kampret,toxic
70,l0s3r,toxic
71,wahai ngehe amat,toxic
72,rese cuk,toxic
73,muka dua,toxic
74,dasar anak p3m4l45 sih,toxic
75,tai abis,toxic
76,eh pembohong,toxic
77,hei ampas,toxic
78,tololan bro,toxic
79,cerewet,toxic
80,dasar anak bacot,toxic
81,payah,toxic
82,si paling jahil,toxic
83,pengkhianat beneran,toxic
84,brengsek,toxic
85,pembohong,toxic
86,sinting,toxic
87,brengsek amat,toxic
88,egois beneran,toxic
89,arogan,toxic
90,oi id1ot woy,toxic
91,kamu setan,toxic
92,si paling ta1 bro,toxic
93,dasar manusia jahil,toxic
94,dungu bro,toxic
95,kamu pecundang,toxic
96,gar1ng,toxic
97,wahai dungu,toxic
98,berisik lu,toxic
99,dasar anak t4i bro,toxic
100,pembohong,toxic
101,nih pemalas,toxic
102,dasar manusia setan,toxic
103,bacot sih,toxic
104,nakal,toxic
105,si paling nyebelin,toxic
106,kamu begok4n sekali,toxic
107,pengkhianat,toxic
108,stress sih,toxic
109,si paling pecund4ng bang,toxic
110,ru54k,toxic
111,dasar tukangfitnah,toxic
112,br3ngs3k,toxic
113,dasar anak p3cund4ng ya,toxic
114,dasar lu tol0l4n parah,toxic
115,nyebelin,toxic
116,p3mar4h,toxic
117,dasar malas,toxic
118,ng3he,toxic
119,alay woy,toxic
120,si kurangajar sih,toxic
121,parasit nih,toxic
122,berisik,toxic
123,si paling g0bl0k4n sekali,toxic
124,useless bro,toxic
125,nih sombong,toxic
126,woi lebay ya,toxic
127,pemalas sih,toxic
128,eh g1l4 kau,toxic
129,busuk,toxic
130,busuk,toxic
131,malas,toxic
132,cacat,toxic
133,jahil sekali,toxic
134,ny3bel1n,toxic
135,dasar anak gila,toxic
136,3d4n,toxic
137,nih brengsek,toxic
138,jah1l,toxic
139,dasar bu5uk nih,toxic
140,nih sombong,toxic
141,bajingan,toxic
142,dasar anak dungu,toxic
143,garing sekali,toxic
144,oi gobl0kan lu,toxic
145,tolol amat,toxic
146,cac4t,toxic
147,wahai k0tor banget,toxic
148,jelek,toxic
149,hei ber4ndal sekali,toxic
150,hei cerewet beneran,toxic
151,julid beneran,toxic
152,garing,toxic
153,pemarah lu,toxic
154,kau begokan,toxic
155,nih cerewet,toxic
156,kau anjing,toxic
157,t0lol4n,toxic
158,dasar lu sinting,toxic
159,kau bu5uk lu,toxic
160,egois,toxic
161,eh biadab,toxic
162,sialan,toxic
163,wahai tukangfitnah,toxic
164,dasar manusia penipu ya,toxic
165,5ial4n,toxic
166,ng3he,toxic
167,dasar manusia 4lay banget,toxic
168,busuk abis,toxic
169,g0bl0k,toxic
170,sialan,toxic
171,taikucing parah,toxic
172,stre5s,toxic
173,eh brengos,toxic
174,pemalas,toxic
175,cerewet,toxic
176,dasar lu ngeyel,toxic
177,ngeyel,toxic
178,si br3ngsek nih,toxic
179,br3ngs3klu,toxic
180,sampah sih,toxic
181,malas,toxic
182,nih 4rog4n ya,toxic
183,si paling n4kal ya,toxic
184,kampungan banget,toxic
185,kau pembohong,toxic
186,woi p4ra5it sih,toxic
187,cerewet,toxic
188,5tre5s,toxic
189,stress bro,toxic
190,julid ya,toxic
191,kau j4h1l kau,toxic
192,hei rusak,toxic
193,alay abis,toxic
194,lebay woy,toxic
195,oi payah,toxic
196,kau 4lay bang,toxic
197,si paling t41 bro,toxic
198,kau loser,toxic
199,jorok,toxic
200,hei tai banget,toxic
201,cupu sih,toxic
202,u53l3ss,toxic
203,dasar jahat beneran,toxic
204,biadab parah,toxic
205,keras kepala nih,toxic
206,malas,toxic
207,dasar anak cerewet,toxic
208,eh res3 parah,toxic
209,dasar lu b14d4b banget,toxic
210,keras kepala woy,toxic
211,dasar breng53klu sekali,toxic
212,jelek,toxic
213,pembohong ya,toxic
214,wahai s3tan sekali,toxic
215,otakudang,toxic
216,jelek,toxic
217,berandal abis,toxic
218,kamu s3t4n sih,toxic
219,soktau woy,toxic
220,wahai pecundang,toxic
221,oi stress,toxic
222,n0r4k,toxic
223,eh ngawur,toxic
224,cupu,toxic
225,g1la,toxic
226,nyebelin woy,toxic
227,eh taiayam,toxic
228,tukangfitnah,toxic
229,taikucing bang,toxic
230,dasar manusia tukangf1tnah kau,toxic
231,dasar anak p3ng4c4u beneran,toxic
232,ngeyel,toxic
233,cupu beneran,toxic
234,useless woy,toxic
235,berandal amat,toxic
236,hei jelek,toxic
237,kau jor0k ya,toxic
238,kamu jahat,toxic
239,dasar garing,toxic
240,ampas ya,toxic
241,dasar lu jahat sekali,toxic
242,pembohong abis,toxic
243,kasar banget,toxic
244,t0l0l,toxic
245,songong,toxic
246,dasar anak useless,toxic
247,idiot,toxic
248,kau julid nih,toxic
249,si lem0t abis,toxic
250,egois amat,toxic
251,kampungan cuk,toxic
252,setan sih,toxic
253,wahai samp4h bang,toxic
254,dungu,toxic
255,taikucing,toxic
256,lebay,toxic
257,gil4,toxic
258,dasar lu goblokan,toxic
259,tolol nih,toxic
260,jah4t,toxic
261,dasar manusia biadab,toxic
262,dasar lu idiotan,toxic
263,nakal amat,toxic
264,kampret,toxic
265,mun4fik,toxic
266,g1la,toxic
267,t4iay4m,toxic
268,ngawur,toxic
269,dasar manusia jahil,toxic
270,wahai bangsat,toxic
271,j0r0k,toxic
272,si paling julid kau,toxic
273,otakud4ng,toxic
274,kau garing,toxic
275,jahil,toxic
276,jahat,toxic
277,nih jorok,toxic
278,tukangfitnah,toxic
279,songong banget,toxic
280,busuk abis,toxic
281,keras kepala sih,toxic
282,pecundang parah,toxic
283,kampungan beneran,toxic
284,tai,toxic
285,dasar manusia cerewet,toxic
286,gila,toxic
287,oi set4n kau,toxic
288,parasit,toxic
289,ng4wur,toxic
290,dasar manusia pemalas,toxic
291,s3t4n,toxic
292,useless,toxic
293,jorok bang,toxic
294,nih j4hil sih,toxic
295,anjing,toxic
296,dasar lu samp4h woy,toxic
297,kampungan,toxic
298,dasar lu l3bay amat,toxic
299,pecund4ng,toxic
300,woi cacat,toxic
301,oi ber4ndal nih,toxic
302,dasar brengos,toxic
303,tukangfitnah amat,toxic
304,eh berandal,toxic
305,kasar,toxic
306,bajingan,toxic
307,t4i4yam,toxic
308,bangsat woy,toxic
309,otakudang amat,toxic
310,nih 3d4n ya,toxic
311,si m4l4s lu,toxic
312,loser,toxic
313,woi idiot,toxic
314,kamu busuk cuk,toxic
315,lo5er,toxic
316,kau k45ar beneran,toxic
317,nih nakal,toxic
318,kampungan,toxic
319,kau rese ya,toxic
320,edan,toxic
321,lemot,toxic
322,kau paras1t bro,toxic
323,dasar lu 4njing bro,toxic
324,cerewet abis,toxic
325,si berisik,toxic
326,j3lek,toxic
327,dasar dungu,toxic
328,setan,toxic
329,gil4,toxic
330,nih idiot,toxic
331,cerewet ya,toxic
332,tololan lu,toxic
333,eh j3lek bang,toxic
334,rese,toxic
335,loser bro,toxic
336,kau n4k4l lu,toxic
337,loser bang,toxic
338,sialan bro,toxic
339,kau brengsek,toxic
340,dasar anak gila,toxic
341,l0s3r,toxic
342,br3ng5eklu,toxic
343,kotor,toxic
344,keparat,toxic
345,kampret sih,toxic
346,loser,toxic
347,muka dua,toxic
348,re53,toxic
349,woi k3r4s kep4la bro,toxic
350,edan sekali,toxic
351,dasar anak edan abis,toxic
352,woi tol0l4n sekali,toxic
353,hei keparat,toxic
354,s0ngong,toxic
355,brengseklu,toxic
356,songong,toxic
357,lemot,toxic
358,kasar,toxic
359,garing woy,toxic
360,egoi5,toxic
361,p3ngkhianat,toxic
362,sinting sekali,toxic
363,woi l3m0t kau,toxic
364,si jahil,toxic
365,kau 53t4n amat,toxic
366,kampret,toxic
367,dasar kur4ngaj4r parah,toxic
368,goblok beneran,toxic
369,si paling busuk,toxic
370,malesin,toxic
371,si t4ikucing amat,toxic
372,si munafik,toxic
373,ngey3l,toxic
374,tukangfitnah nih,toxic
375,kamu lem0t parah,toxic
376,kamu lemot,toxic
377,dasar lu alay,toxic
378,si paling gila,toxic
379,si paling jahil,toxic
380,p4r4s1t,toxic
381,jahat ya,toxic
382,kampungan lu,toxic
383,lebay banget,toxic
384,si julid kau,toxic
385,s14l4n,toxic
386,kau jah4t bro,toxic
387,leb4y,toxic
388,ng3he,toxic
389,oi goblokan,toxic
390,wahai 4rogan beneran,toxic
391,keparat,toxic
392,dasar anak b0d0h banget,toxic
393,egois,toxic
394,wahai julid,toxic
395,lemot,toxic
396,kotor banget,toxic
397,anjing,toxic
398,taikucing sih,toxic
399,lebay,toxic
400,begokan sih,toxic
401,jahil,toxic
402,arogan,toxic
403,biadab nih,toxic
404,hei biadab,toxic
405,ngehe,toxic
406,dasar anak t0lol ya,toxic
407,50ngong,toxic
408,keras kepala,toxic
409,kurangajar woy,toxic
410,kamu parasit,toxic
411,pemarah sekali,toxic
412,eh 0takud4ng woy,toxic
413,dasar anak rusak nih,toxic
414,nakal woy,toxic
415,si paling ngey3l lu,toxic
416,woi jel3k nih,toxic
417,gila,toxic
418,nih idiot,toxic
419,keparat cuk,toxic
420,kamu norak,toxic
421,ngehe sekali,toxic
422,pemarah amat,toxic
423,k3r45 k3p4la,toxic
424,cerewet bang,toxic
425,kamu p4yah amat,toxic
426,lem0t,toxic
427,berisik abis,toxic
428,kampret abis,toxic
429,keras kepala banget,toxic
430,beg0k4n,toxic
431,si cerewet,toxic
432,sinting woy,toxic
433,rese bang,toxic
434,si bajingan,toxic
435,parasit,toxic
436,g0blok,toxic
437,muka dua ya,toxic
438,dasar manusia tolol,toxic
439,oi r3se cuk,toxic
440,sampah,toxic
441,dasar lu tai,toxic
442,edan bro,toxic
443,si gila,toxic
444,ngehe,toxic
445,si paling sinting,toxic
446,kau egois,toxic
447,pengkh1an4t,toxic
448,rusak lu,toxic
449,hei berandal beneran,toxic
450,woi payah,toxic
451,l3m0t,toxic
452,biadab ya,toxic
453,kasar,toxic
454,dasar lu keparat,toxic
455,s0ktau,toxic
456,oi bang5at banget,toxic
457,brengseklu,toxic
458,cerewet,toxic
459,edan sih,toxic
460,cupu,toxic
461,taikucing,toxic
462,ngawur,toxic
463,rese bang,toxic
464,s0ktau,toxic
465,cacat,toxic
466,bego,toxic
467,dasar norak,toxic
468,munafik,toxic
469,kamu jul1d bang,toxic
470,taikucing bro,toxic
471,p3cundang,toxic
472,malas banget,toxic
473,otakudang,toxic
474,b3r4ndal,toxic
475,oi bego,toxic
476,eh idiotan,toxic
477,ngawur,toxic
478,soktau sekali,toxic
479,dasar manusia 5inting woy,toxic
480,b4ngs4t,toxic
481,si tololan,toxic
482,hei bang5at nih,toxic
483,pemalas,toxic
484,si edan,toxic
485,cerew3t,toxic
486,nih 0t4kudang bang,toxic
487,k3p4r4t,toxic
488,dungu,toxic
489,p3ng4cau,toxic
490,eh julid,toxic
491,nih song0ng amat,toxic
492,5amp4h,toxic
493,ta1kuc1ng,toxic
494,dasar manusia p3m4rah woy,toxic
495,busuk,toxic
496,sinting cuk,toxic
497,songong,toxic
498,dasar anak gila bro,toxic
499,arogan,toxic
500,kau ng3h3 banget,toxic
501,nih k4mpung4n woy,toxic
502,jahil,toxic
503,lemot parah,toxic
504,ngeyel,toxic
505,kotor cuk,toxic
506,hei sinting,toxic
507,kamu jahat,toxic
508,n4k4l,toxic
509,norak banget,toxic
510,kamu kurangajar,toxic
511,si tai,toxic
512,oi lemot,toxic
513,busuk,toxic
514,woi kas4r banget,toxic
515,dasar anak b4j1ng4n lu,toxic
516,kamu soktau,toxic
517,kau ka54r cuk,toxic
518,kamu kurangajar,toxic
519,alay bro,toxic
520,nakal,toxic
521,dasar manusia idiot,toxic
522,kau mal45 nih,toxic
523,hei kasar,toxic
524,dasar 0takudang sekali,toxic
525,3d4n,toxic
526,useless,toxic
527,berandal,toxic
528,penipu,toxic
529,dasar anak cacat,toxic
530,busuk,toxic
531,dasar lu kampr3t woy,toxic
532,kau gila bang,toxic
533,woi k4mpr3t bang,toxic
534,bangsat,toxic
535,hei tukangfitnah,toxic
536,sampah,toxic
537,idiotan,toxic
538,brengsek ya,toxic
539,pemarah,toxic
540,lo5er,toxic
541,kau pengkhianat,toxic
542,hei 50ng0ng beneran,toxic
543,tololan,toxic
544,dasar anak songong,toxic
545,br3ng0s,toxic
546,eh jorok,toxic
547,dasar manusia n0rak banget,toxic
548,jelek amat,toxic
549,biadab abis,toxic
550,p3mbohong,toxic
551,oi songong,toxic
552,wahai muk4 du4 amat,toxic
553,eh bodoh,toxic
554,garing,toxic
555,goblok,toxic
556,alay amat,toxic
557,bacot cuk,toxic
558,rese woy,toxic
559,wahai keparat,toxic
560,s0ktau,toxic
561,k3r45 k3pala,toxic
562,kau keparat,toxic
563,p3mal4s,toxic
564,gil4,toxic
565,kasar,toxic
566,kotor,toxic
567,egois beneran,toxic
568,dasar anak s0ng0ng bang,toxic
569,b3gokan,toxic
570,nakal,toxic
571,muka dua,toxic
572,lemot abis,toxic
573,dasar breng53k lu,toxic
574,dasar anak pembohong kau,toxic
575,t0l0l,toxic
576,julid,toxic
577,gila cuk,toxic
578,jahat,toxic
